signal_time,entry_time,direction,confidence,volume,entry_price,sl,tp,sl_pips,tp_pips,exit_time,exit_price,exit_reason,pnl_pips,pnl_dollars
2024-11-20 16:30:00,2024-11-20 16:45:00,buy,0.4050160049684367,0.01,1.05263,1.04963,1.05863,30.0,60.0,2024-11-21 18:15:00,1.04963,sl,-31.8,-3.18
2024-11-21 18:15:00,2024-11-21 18:30:00,buy,0.5370718056477439,0.01,1.0481,1.0451000000000001,1.0541,30.0,60.0,2024-11-22 10:45:00,1.0451000000000001,sl,-31.8,-3.18
2024-11-22 10:45:00,2024-11-22 11:00:00,buy,0.4667637804457791,0.01,1.03414,1.0311400000000002,1.04014,30.0,60.0,2024-11-22 11:15:00,1.04014,tp,58.2,5.82
2024-11-22 11:15:00,2024-11-22 11:30:00,buy,0.46262076595695856,0.01,1.04169,1.0386900000000001,1.04769,30.0,60.0,2024-11-22 12:00:00,1.0386900000000001,sl,-31.8,-3.18
2024-11-22 16:30:00,2024-11-22 16:45:00,buy,0.4366201674927813,0.01,1.04061,1.0376100000000001,1.04661,30.0,60.0,2024-11-25 00:00:00,1.04661,tp,58.2,5.82
2024-11-25 09:45:00,2024-11-25 10:00:00,buy,0.4901280794886473,0.01,1.0454299999999999,1.04243,1.0514299999999999,30.0,60.0,2024-11-25 15:15:00,1.0514299999999999,tp,58.2,5.82
2024-11-25 16:45:00,2024-11-25 17:00:00,buy,0.45181773727785507,0.01,1.04981,1.04681,1.05581,30.0,60.0,2024-11-25 18:45:00,1.04681,sl,-31.8,-3.18
2024-11-25 18:45:00,2024-11-25 19:00:00,buy,0.5367460479648122,0.01,1.04737,1.04437,1.05337,30.0,60.0,2024-11-26 01:45:00,1.04437,sl,-31.8,-3.18
2024-11-26 01:45:00,2024-11-26 02:00:00,buy,0.5663457752142819,0.01,1.04342,1.0404200000000001,1.04942,30.0,60.0,2024-11-26 10:45:00,1.04942,tp,58.2,5.82
2024-11-26 17:30:00,2024-11-26 17:45:00,buy,0.44896280514802617,0.01,1.04809,1.04509,1.05409,30.0,60.0,2024-11-27 15:30:00,1.05409,tp,58.2,5.82
2024-11-27 15:45:00,2024-11-27 16:00:00,sell,0.40652523064107127,0.01,1.05638,1.05938,1.05038,30.0,60.0,2024-11-29 09:15:00,1.05938,sl,-31.8,-3.18
2024-11-29 10:15:00,2024-11-29 10:30:00,buy,0.44296331598920524,0.01,1.0568899999999999,1.05389,1.06289,30.0,60.0,2024-12-02 01:15:00,1.05389,sl,-31.8,-3.18
2024-12-02 01:15:00,2024-12-02 01:30:00,buy,0.5688786087594547,0.01,1.05464,1.0516400000000001,1.06064,30.0,60.0,2024-12-02 07:15:00,1.0516400000000001,sl,-31.8,-3.18
2024-12-02 10:00:00,2024-12-02 10:15:00,buy,0.40045102392381526,0.01,1.0507199999999999,1.04772,1.0567199999999999,30.0,60.0,2024-12-02 16:45:00,1.04772,sl,-31.8,-3.18
2024-12-02 16:45:00,2024-12-02 17:00:00,buy,0.5112587483615585,0.01,1.04693,1.04393,1.05293,30.0,60.0,2024-12-03 11:00:00,1.05293,tp,58.2,5.82
2024-12-03 13:00:00,2024-12-03 13:15:00,buy,0.40892347621836417,0.01,1.0523,1.0493000000000001,1.0583,30.0,60.0,2024-12-03 17:15:00,1.0493000000000001,sl,-31.8,-3.18
2024-12-03 17:15:00,2024-12-03 17:30:00,buy,0.4763596107745923,0.01,1.051,1.048,1.057,30.0,60.0,2024-12-04 15:30:00,1.048,sl,-31.8,-3.18
