name,sharpe_full,dd_full,cagr_full,sharpe_eval,dd_eval,cagr_eval,turnover_yr,avg_abs_pos,params
stress-B-ewfast-mid-bko-buf0.3-delay3,0.892,-19.6,11.7,0.975,-19.6,13.8,14.9,0.54,"{""delay"": 3}"
h1-lf-w622-hl21,0.933,-18.9,12.3,1.017,-18.9,14.4,22.1,0.55,"{""vol_hl"": 21}"
h1-lf-w622-hl42,0.912,-18.5,11.8,0.997,-18.5,14.0,13.6,0.55,"{""vol_hl"": 42}"
h1-lf-w532-hl21,0.907,-19.3,11.9,1.001,-19.3,14.2,21.1,0.55,"{""vol_hl"": 21}"
h1-lf-w532-hl42,0.884,-19.3,11.5,0.981,-19.3,13.7,12.9,0.55,"{""vol_hl"": 42}"
h1-lf-w5221-hl21,0.925,-18.0,11.6,1.017,-18.0,13.7,18.6,0.53,"{""vol_hl"": 21}"
h1-lf-w5221-hl42,0.901,-17.8,11.1,0.992,-17.8,13.2,11.3,0.52,"{""vol_hl"": 42}"
h1-lf-w4222-hl21,0.912,-17.6,10.8,1.014,-17.6,12.9,15.5,0.5,"{""vol_hl"": 21}"
h1-lf-w4222-hl42,0.888,-17.0,10.4,0.985,-17.0,12.5,9.4,0.5,"{""vol_hl"": 42}"
h1-DISCRETE-lf-e0.5-x0.0,0.779,-9.9,6.3,0.84,-9.9,7.3,1.9,0.4,"{""enter"": 0.5, ""exit"": 0.0}"
h1-DISCRETE-lf-e0.5-x0.0-costx2,0.775,-9.9,6.3,0.836,-9.9,7.2,1.9,0.4,{}
h1-DISCRETE-lf-e0.5-x-0.25,0.779,-10.3,6.4,0.841,-10.3,7.4,1.7,0.41,"{""enter"": 0.5, ""exit"": -0.25}"
h1-DISCRETE-lf-e0.5-x-0.25-costx2,0.777,-10.4,6.4,0.838,-10.4,7.4,1.7,0.41,{}
h1-DISCRETE-lf-e0.75-x0.0,0.772,-10.3,6.2,0.838,-10.3,7.1,1.8,0.39,"{""enter"": 0.75, ""exit"": 0.0}"
h1-DISCRETE-lf-e0.75-x0.0-costx2,0.769,-10.4,6.1,0.835,-10.4,7.1,1.8,0.39,{}
h1-DISCRETE-lf-e0.25-x-0.25,0.788,-9.9,6.5,0.855,-9.9,7.5,1.7,0.42,"{""enter"": 0.25, ""exit"": -0.25}"
