time,PLAT,PALL,NATGAS,HEATOIL,GASOIL,SPX_fastb,SPX_slowb,BTC_fastb,BTC_slowb,GOLD_fastb,GOLD_slowb,XSMOM,DIPBUY,TOM
1987-01-13,,,,,,-0.0017241505858751867,-0.0015567870214918233,,,,,-0.000260409454673783,0.0,0.0
1987-01-14,,,,,,0.013365252716986003,0.012457082813763022,,,,,0.0020151482430136388,0.0,0.0
1987-01-15,,,,,,0.01401795013509686,0.013826394818350641,,,,,0.0021295205860689275,0.0,0.0
1987-01-16,,,,,,0.003844044803083914,0.0038405115326129364,,,,,0.0005840325011787679,0.0,0.0
1987-01-19,,,,,,0.014956450050108594,0.014956386315214672,,,,,0.0022542306649857365,0.0,0.0
1987-01-20,,,,,,-0.0014496964308363385,-0.0014496964308363385,,,,,-0.00022028795330624463,0.0,0.0
1987-01-21,,,,,,-0.005841507073630188,-0.005841507073630188,,,,,-0.0008809008494729614,0.0,0.0
1987-01-22,,,,,,0.02981466564333217,0.029676403455176893,,,,,0.004508769928984691,0.0,0.0
1987-01-23,,,,,,-0.018299612281068217,-0.018214375504761758,,,,,-0.0027810185647088592,0.0,0.0
1987-01-26,,,,,,-0.0023867941408498923,-0.0021753087201421785,,,,,-0.00035057023323310484,0.0,0.0
1987-01-27,,,,,,0.020201842905445716,0.016226172890511672,,,,,0.0029228085588316353,0.0,-2.3482084634744057e-05
1987-01-28,,,,,,0.00792963677563535,0.0069776547897053435,,,,,0.0011554586732130255,0.0,0.0014151420841225827
1987-01-29,,,,,,-0.0055414129926631426,-0.005312330762035167,,,,,-0.0008004437112266557,0.0,-0.0009803393301624963
1987-01-30,,,,,,-0.0007675810115889873,-0.0007344708664943293,,,,,-0.00011168634959597881,0.0,-0.00013678728387212313
1987-02-02,,,,,,0.011376293912935657,0.010885569498952277,,,,,0.0016619601283063465,0.0,0.0020354771436005047
1987-02-03,,,,,,-0.0021892081041496943,-0.0021315812658690807,,,,,-0.0003224161868128356,0.0,-0.0003948775712526528
1987-02-04,,,,,,0.017399129594377585,0.017044762556516407,,,,,0.0025712797487411104,0.0,0.0031491616851837285
1987-02-05,,,,,,0.007150990767961002,0.007005723401577282,,,,,0.001064326659806852,0.0,0.001279646599453661
1987-02-06,,,,,,-0.005240680379944489,-0.005149164452423145,,,,,-0.0007769005334656246,0.0,0.0
1987-02-09,,,,,,-0.008832100040774542,-0.008720056684070204,,,,,-0.001318467466880598,0.0,0.0
1987-02-10,,,,,,-0.014614648212796,-0.013352763104285556,,,,,-0.002192161852863224,0.0,0.0
1987-02-11,,,,,,0.011154923983471314,0.007608397594426616,,,,,0.001773841961488256,0.0,0.0
1987-02-12,,,,,,-0.008533013809985014,-0.005888582821628222,,,,,-0.0013564709922721252,0.0,0.0
1987-02-13,,,,,,0.014016163235058374,0.011621772034935763,,,,,0.002910995279248987,0.0,0.0
